date,wfo,wfh,other
2020-01-30,17,4,0
2020-01-31,7,17,1
2020-02-03,14,5,1
2020-02-04,18,10,0
2020-02-05,16,9,1
2020-02-06,17,4,0
2020-02-07,17,13,0
2020-02-10,20,7,0
2020-02-11,19,6,0
2020-02-12,12,15,1
2020-02-13,13,9,0
2020-02-14,17,6,0
2020-02-17,16,7,0
2020-02-18,13,18,0
2020-02-19,7,14,1
2020-02-20,8,10,2
2020-02-21,13,5,4
2020-02-24,13,9,1
2020-02-25,15,7,1
2020-02-26,8,12,1
2020-02-27,17,9,2
2020-02-28,14,10,1
2020-03-02,13,11,0
2020-03-03,16,9,1
2020-03-04,9,10,0
2020-03-05,3,11,0
2020-03-06,7,17,2
2020-03-10,9,14,0
2020-03-11,0,23,2
2020-03-12,5,25,2
2020-03-13,1,21,1
2020-03-16,0,20,2
